"","","","","",""
"TABLE 1","","","","",""
"","","","","",""
"","Total attempts .","Attempts on target","Attempts off target","Blocked","Matches played"
"01 Germany","39","16","11","12","2"
"02 Croatia","36","10","16","10","2"
"03 Belgium","34","14","9","11","2"
"04 Denmark","32","11","10","11","2"
"04 C* TÃ¼rkiye","32","11","10","11","2"
"06 Spain","31","13","11","7","2"
"06 Czechia","31","12","10","9","2"
"06 Q Portugal","31","11","11","9","2"
"09 France","30","6","14","10","2"
"10 Netherlands","28","8","13","7","2"
"10 Ukraine","28","7","10","11","2"
"12 Switzerland","26","11","9","6","2"
"12 Poland","26","10","8","8","2"
"","","","","",""
"","","","","",""
"TABLE 2","","","","",""
"","","","","",""
"14 Slovakia","24","9","9","6","2"
"15 Romania","23","9","9","5","2"
"15 Albania","23","9","6","8","2"
"17 Austria","22","12","5","5","2"
"18 Slovenia","21","6","11","4","2"
"18 00 Serbia","21","5","5","11","2"
"20 Italy","20","6","8","6","2"
"20 Georgia","20","5","9","6","2"
"22 England","16","7","7","2","2"
"22 Hungary","16","5","6","5","2"
"24 Scotland","12","3","6","3","2"
