original_filename,page,file_url,platform_link,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,,Goals,Right foot,Left foot,Head,Other,Goals inside area,Goals outside area,Penalties scored,Matches played
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,01 Germany,8,in,2,1,о,6,2,1,3
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,02 Switzerland,5,4,1,0,о,3,2,о,3
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,02 Portugal,5,+,2,о,о,3,о,о,2
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,04 Spain,4,1,2,о,о,3,о,о,2 N
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,05 C✶ Türkiye,3,2,1,о,о,1,2,о,2
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,05 Romania,3,2,1,о,о,1,2,о,2
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,05 Austria,3,2,о,1,о,3,о,1,2
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,05 Albania,3,1,1,1,о,3,о,0,2
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,09 + Georgia,2,2,о,о,о,2,о,1,2
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,09 + Denmark,2,2,о,о,о,1,1,о,2
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,09 Belgium,2,2,о,о,о,1,1,о,2
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,09 D Ukraine,2,1,1,о,о,2,о,о,2
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,09 Netherlands,2,1,1,0,0,1,1,o,2
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,09 Slovenia,2,1,1,о,о,1,1,о,2
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,09 Hungary,2,1,о,1,о,2,°,о,3
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,09 Slovakia,2,1,о,1,о,2,°,о,2
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,09 Poland,2,1,о,1,о,2,°,о,2
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,09 Italy,2,1,о,1,°,1,1,о,2
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,09 Czechia,2,1,о,°,1,1,1,о,2
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,09 Croatia,2,1,°,°,°,1,о,о,2
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,09 + England,2,°,1,1,°,2,о,о,2
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,09 Scotland,2,о,1,°,о,1,о,о,3
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,23 Serbia,1,о,о,1,о,1,о,о,2
Goals.jpg,0,"https://ik.imagekit.io/nanonets/tr:true,rt-0/uploadedfiles/113465f2-98b3-4ee8-b146-2f6d3e05dfca/PredictionImages/63b3ccff-189f-4567-a1a6-ccf1f6e7f8d0.jpeg?ik-s=9bb8bed5db04aaa478d4e75cbbe10052bd56cfa1&ik-t=1719241962",https://app.nanonets.com/#/ocr/test/113465f2-98b3-4ee8-b146-2f6d3e05dfca/983f6032-321a-11ef-8504-9e9994b16f9f,23 France,1,°,°,0,°,0,0,0,2
